lp.,imię i nazwisko,kraj,flaga,pozycja,data urodzenia,wiek,mecze,gole
1,Daniel Fabisiak,Polska,,pomocnik,15.02.1994,31,38,9
2,Mateusz Janeczko,Polska,,pomocnik,30.11.1994,31,37,8
3,Patryk Wentland,Polska,,obrońca,24.04.1993,32,36,3
4,Daniel Gołuch,Polska,,obrońca,20.07.1993,32,33,4
5,Damian Nowak,Polska,,napastnik,14.05.1992,33,33,3
6,Daniel Bujok,Polska,,pomocnik,24.11.1994,31,28,5
7,Arkadiusz Januszyk,Polska,,obrońca,07.01.1992,33,26,2
8,Bartłomiej Danowski,Polska,,bramkarz,21.03.1992,33,24,
9,Krystian Patroń,Polska,,pomocnik,22.01.1993,32,24,1
10,Łukasz Zakrzewski,Polska,,obrońca,07.03.1996,29,22,2
11,Paweł Gryta,Polska,,napastnik,08.02.1994,31,21,3
12,Artur Moroń,Polska,,obrońca,10.07.1993,32,21,0
13,Konrad Kareta,Polska,,obrońca,14.03.1995,30,19,2
14,Dawid Nagi,Polska,,napastnik,04.03.1993,32,18,2
15,Jakub Krawczyk,Polska,,obrońca,30.04.1993,32,17,0
16,Adrian Miroski,Polska,,obrońca,01.01.1996,29,17,
17,Krystian Zelek,Polska,,pomocnik,24.02.1994,31,17,
18,Łukasz Reinhard,Polska,,pomocnik,04.09.1994,31,16,1
19,Adrian Ostrowski,Polska,,napastnik,26.02.1995,30,16,1
20,Bartosz Iskrzycki,Polska,,pomocnik,12.09.1995,30,15,
21,Łukasz Wawrzyniak,Polska,,obrońca,28.06.1991,34,14,1
22,Maksymilian Wojtasik,Polska,,napastnik,09.02.1993,32,14,1
23,Jakub Słupski,Polska,,pomocnik,16.12.1995,30,14,
24,Damian Byrtek,Polska,,obrońca,07.03.1991,34,13,0
25,Robert Biegun,Polska,,obrońca,13.05.1992,33,12,0
26,Mateusz Kraska,Polska,,pomocnik,10.01.1994,31,12,0
27,Kamil Jonkisz,Polska,,pomocnik,29.08.1995,30,12,1
28,Radosław Karcz,Polska,,pomocnik,18.01.1993,32,11,0
29,Piotr Koman,Polska,,pomocnik,25.06.1985,40,11,1
30,Marcin Stokłosa,Polska,,pomocnik,01.01.1993,32,11,0
31,Mateusz Niechciał,Polska,,obrońca,02.05.1988,37,11,
32,Wojciech Popczyk,Polska,,pomocnik,16.11.1994,31,11,
34,Mariusz Mikoda,Polska,,obrońca,13.09.1992,33,10,1
35,Maciej Wierzbicki,Polska,,bramkarz,21.02.1991,34,10,0
36,Krzysztof Łaciak,Polska,,obrońca,05.07.1995,30,10,
33,Juraj Dančík,Słowacja,,obrońca,21.02.1982,43,10,1
38,Luka Gusić,Chorwacja,,obrońca,27.09.1989,36,9,1
37,Wojciech Reiman,Polska,,pomocnik,05.08.1988,37,9,2
39,Szymon Byrtek,Polska,,pomocnik,05.01.1992,33,8,0
40,Piotr Adamek,Polska,,bramkarz,11.07.1992,33,8,
41,Bartłomiej Kamiński,Polska,,obrońca,10.02.1995,30,8,
42,Wojciech Jurek,Polska,,obrońca,12.10.1994,31,7,0
43,Marcin Motyka,Polska,,obrońca,09.03.1993,32,7,0
44,Wojciech Mrok,Polska,,bramkarz,08.03.1994,31,7,0
46,Liad Elmalich,Izrael,,pomocnik,21.02.1989,36,6,2
45,Mateusz Bąk,Polska,,bramkarz,24.02.1983,42,6,0
47,Damian Pierog,Polska,,obrońca,29.06.1990,35,6,0
48,Mariusz Sacha,Polska,,pomocnik,19.07.1987,38,5,2
49,Artur Sawicki,Polska,,napastnik,01.03.1993,32,5,0
53,Ondřej Šourek,Czechy,,obrońca,26.04.1983,42,4,0
50,Dariusz Bernaś,Polska,,napastnik,25.07.1992,33,4,0
52,Wojciech Siwek,Polska,,pomocnik,23.04.1990,35,4,0
54,Maciej Stróżak,Polska,,pomocnik,08.08.1993,32,4,1
55,Krzysztof Baran,Polska,,bramkarz,12.02.1990,35,4,
