lp.,imię i nazwisko,kraj,flaga,pozycja,data urodzenia,wiek,mecze,gole
1,Daniel Fabisiak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,15.02.1994,31,38,9
2,Mateusz Janeczko,Polska,https://flagcdn.com/w40/pl.png,pomocnik,30.11.1994,31,37,8
3,Patryk Wentland,Polska,https://flagcdn.com/w40/pl.png,obrońca,24.04.1993,32,36,3
4,Daniel Gołuch,Polska,https://flagcdn.com/w40/pl.png,obrońca,20.07.1993,32,33,4
5,Damian Nowak,Polska,https://flagcdn.com/w40/pl.png,napastnik,14.05.1992,33,33,3
6,Daniel Bujok,Polska,https://flagcdn.com/w40/pl.png,pomocnik,24.11.1994,31,28,5
7,Arkadiusz Januszyk,Polska,https://flagcdn.com/w40/pl.png,obrońca,07.01.1992,33,26,2
8,Bartłomiej Danowski,Polska,https://flagcdn.com/w40/pl.png,bramkarz,21.03.1992,33,24,
9,Krystian Patroń,Polska,https://flagcdn.com/w40/pl.png,pomocnik,22.01.1993,32,24,1
10,Łukasz Zakrzewski,Polska,https://flagcdn.com/w40/pl.png,obrońca,07.03.1996,29,22,2
11,Paweł Gryta,Polska,https://flagcdn.com/w40/pl.png,napastnik,08.02.1994,31,21,3
12,Artur Moroń,Polska,https://flagcdn.com/w40/pl.png,obrońca,10.07.1993,32,21,0
13,Konrad Kareta,Polska,https://flagcdn.com/w40/pl.png,obrońca,14.03.1995,30,19,2
14,Dawid Nagi,Polska,https://flagcdn.com/w40/pl.png,napastnik,04.03.1993,32,18,2
15,Jakub Krawczyk,Polska,https://flagcdn.com/w40/pl.png,obrońca,30.04.1993,32,17,0
16,Adrian Miroski,Polska,https://flagcdn.com/w40/pl.png,obrońca,01.01.1996,29,17,
17,Krystian Zelek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,24.02.1994,31,17,
18,Łukasz Reinhard,Polska,https://flagcdn.com/w40/pl.png,pomocnik,04.09.1994,31,16,1
19,Adrian Ostrowski,Polska,https://flagcdn.com/w40/pl.png,napastnik,26.02.1995,30,16,1
20,Bartosz Iskrzycki,Polska,https://flagcdn.com/w40/pl.png,pomocnik,12.09.1995,30,15,
21,Łukasz Wawrzyniak,Polska,https://flagcdn.com/w40/pl.png,obrońca,28.06.1991,34,14,1
22,Maksymilian Wojtasik,Polska,https://flagcdn.com/w40/pl.png,napastnik,09.02.1993,32,14,1
23,Jakub Słupski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,16.12.1995,30,14,
24,Damian Byrtek,Polska,https://flagcdn.com/w40/pl.png,obrońca,07.03.1991,34,13,0
25,Robert Biegun,Polska,https://flagcdn.com/w40/pl.png,obrońca,13.05.1992,33,12,0
26,Mateusz Kraska,Polska,https://flagcdn.com/w40/pl.png,pomocnik,10.01.1994,31,12,0
27,Kamil Jonkisz,Polska,https://flagcdn.com/w40/pl.png,pomocnik,29.08.1995,30,12,1
28,Radosław Karcz,Polska,https://flagcdn.com/w40/pl.png,pomocnik,18.01.1993,32,11,0
29,Piotr Koman,Polska,https://flagcdn.com/w40/pl.png,pomocnik,25.06.1985,40,11,1
30,Marcin Stokłosa,Polska,https://flagcdn.com/w40/pl.png,pomocnik,01.01.1993,32,11,0
31,Mateusz Niechciał,Polska,https://flagcdn.com/w40/pl.png,obrońca,02.05.1988,37,11,
32,Wojciech Popczyk,Polska,https://flagcdn.com/w40/pl.png,pomocnik,16.11.1994,31,11,
34,Mariusz Mikoda,Polska,https://flagcdn.com/w40/pl.png,obrońca,13.09.1992,33,10,1
35,Maciej Wierzbicki,Polska,https://flagcdn.com/w40/pl.png,bramkarz,21.02.1991,34,10,0
36,Krzysztof Łaciak,Polska,https://flagcdn.com/w40/pl.png,obrońca,05.07.1995,30,10,
33,Juraj Dančík,Słowacja,https://flagcdn.com/w40/sk.png,obrońca,21.02.1982,43,10,1
38,Luka Gusić,Chorwacja,https://flagcdn.com/w40/hr.png,obrońca,27.09.1989,36,9,1
37,Wojciech Reiman,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.08.1988,37,9,2
39,Szymon Byrtek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,05.01.1992,33,8,0
40,Piotr Adamek,Polska,https://flagcdn.com/w40/pl.png,bramkarz,11.07.1992,33,8,
41,Bartłomiej Kamiński,Polska,https://flagcdn.com/w40/pl.png,obrońca,10.02.1995,30,8,
42,Wojciech Jurek,Polska,https://flagcdn.com/w40/pl.png,obrońca,12.10.1994,31,7,0
43,Marcin Motyka,Polska,https://flagcdn.com/w40/pl.png,obrońca,09.03.1993,32,7,0
44,Wojciech Mrok,Polska,https://flagcdn.com/w40/pl.png,bramkarz,08.03.1994,31,7,0
46,Liad Elmalich,Izrael,https://flagcdn.com/w40/il.png,pomocnik,21.02.1989,36,6,2
45,Mateusz Bąk,Polska,https://flagcdn.com/w40/pl.png,bramkarz,24.02.1983,42,6,0
47,Damian Pierog,Polska,https://flagcdn.com/w40/pl.png,obrońca,29.06.1990,35,6,0
48,Mariusz Sacha,Polska,https://flagcdn.com/w40/pl.png,pomocnik,19.07.1987,38,5,2
49,Artur Sawicki,Polska,https://flagcdn.com/w40/pl.png,napastnik,01.03.1993,32,5,0
53,Ondřej Šourek,Czechy,https://flagcdn.com/w40/cz.png,obrońca,26.04.1983,42,4,0
50,Dariusz Bernaś,Polska,https://flagcdn.com/w40/pl.png,napastnik,25.07.1992,33,4,0
52,Wojciech Siwek,Polska,https://flagcdn.com/w40/pl.png,pomocnik,23.04.1990,35,4,0
54,Maciej Stróżak,Polska,https://flagcdn.com/w40/pl.png,pomocnik,08.08.1993,32,4,1
55,Krzysztof Baran,Polska,https://flagcdn.com/w40/pl.png,bramkarz,12.02.1990,35,4,
56,Daniel Ferreri,Polska,https://flagcdn.com/w40/pl.png,napastnik,15.01.1995,30,4,1
57,Przemysław Matejko,Polska,https://flagcdn.com/w40/pl.png,pomocnik,11.04.1995,30,4,
58,Damian Szczęsny,Polska,https://flagcdn.com/w40/pl.png,napastnik,26.12.1986,39,4,2
59,Dominik Zwardoń,Polska,https://flagcdn.com/w40/pl.png,pomocnik,24.07.1994,31,4,
51,Matej Náther,Słowacja,https://flagcdn.com/w40/sk.png,pomocnik,23.07.1985,40,4,0
66,Serginho,Brazylia,https://flagcdn.com/w40/br.png,pomocnik,09.06.1990,35,3,0
62,Ivan Ćurić,Chorwacja,https://flagcdn.com/w40/hr.png,napastnik,18.05.1987,38,3,4
60,Jacek Broniewicz,Polska,https://flagcdn.com/w40/pl.png,obrońca,18.09.1981,44,3,1
61,Damian Chmiel,Polska,https://flagcdn.com/w40/pl.png,pomocnik,06.05.1987,38,3,0
63,Krzysztof Król,Polska,https://flagcdn.com/w40/pl.png,obrońca,06.02.1987,38,3,0
64,Dariusz Łatka,Polska,https://flagcdn.com/w40/pl.png,pomocnik,14.09.1978,47,3,0
65,Adrian Olszowski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,30.12.1992,32,3,0
67,Fabian Pawela,Polska,https://flagcdn.com/w40/pl.png,napastnik,30.11.1985,40,3,
68,Tomasz Górkiewicz,Polska,https://flagcdn.com/w40/pl.png,obrońca,28.01.1985,40,2,0
69,Bartosz Kostyra,Polska,https://flagcdn.com/w40/pl.png,bramkarz,09.08.1994,31,2,0
70,Dariusz Łoś,Polska,https://flagcdn.com/w40/pl.png,pomocnik,15.10.1992,33,2,0
71,Kamil Adamek,Polska,https://flagcdn.com/w40/pl.png,napastnik,09.02.1989,36,2,
72,Marcin Byrski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,18.10.1995,30,2,
73,Sławomir Cienciała,Polska,https://flagcdn.com/w40/pl.png,obrońca,19.03.1983,42,2,
74,Maciej Lubański,Polska,https://flagcdn.com/w40/pl.png,napastnik,14.01.1995,30,2,
75,Miłosz Michalski,Polska,https://flagcdn.com/w40/pl.png,bramkarz,13.05.1994,31,2,
76,Łukasz Mrzyk,Polska,https://flagcdn.com/w40/pl.png,bramkarz,10.09.1995,30,2,
77,Błażej Telichowski,Polska,https://flagcdn.com/w40/pl.png,obrońca,06.06.1984,41,2,1
78,Marcin Wodecki,Polska,https://flagcdn.com/w40/pl.png,pomocnik,14.01.1988,37,2,1
85,Marko Ćetković,Czarnogóra,https://flagcdn.com/w40/me.png,pomocnik,10.07.1986,39,1,
79,Mateusz Droździk,Polska,https://flagcdn.com/w40/pl.png,obrońca,03.03.1993,32,1,0
80,Michał Foltyn,Polska,https://flagcdn.com/w40/pl.png,pomocnik,08.08.1991,34,1,0
81,Bartłomiej Konieczny,Polska,https://flagcdn.com/w40/pl.png,obrońca,09.06.1981,44,1,0
82,Piotr Malinowski,Polska,https://flagcdn.com/w40/pl.png,pomocnik,24.03.1984,41,1,0
83,Łukasz Mierzejewski,Polska,https://flagcdn.com/w40/pl.png,obrońca,31.08.1982,43,1,0
84,Aleksander Pawlus,Polska,https://flagcdn.com/w40/pl.png,pomocnik,09.08.1991,34,1,0
86,Adam Deja,Polska,https://flagcdn.com/w40/pl.png,pomocnik,24.06.1993,32,1,
87,Mariusz Duś,Polska,https://flagcdn.com/w40/pl.png,obrońca,31.01.1995,30,1,
88,Przemysław Gladus,Polska,https://flagcdn.com/w40/pl.png,pomocnik,11.03.1995,30,1,
89,Szymon Jarosz,Polska,https://flagcdn.com/w40/pl.png,obrońca,06.03.1997,28,1,
90,Dariusz Kołodziej,Polska,https://flagcdn.com/w40/pl.png,pomocnik,17.04.1982,43,1,
91,Adrian Nycz,Polska,https://flagcdn.com/w40/pl.png,pomocnik,13.12.1995,30,1,
92,Tomasz Śmiłek,Polska,https://flagcdn.com/w40/pl.png,napastnik,08.09.1995,30,1,
93,Szymon Święs,Polska,https://flagcdn.com/w40/pl.png,obrońca,21.08.1994,31,1,
94,Łukasz Żółty,Polska,https://flagcdn.com/w40/pl.png,obrońca,21.04.1994,31,1,
