kolejka,sezon,data meczu,miejsce rozgrywania,tsp,rywal,wynik,strzelcy,rozgrywki,frekwencja
01,1997/98,09.08.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Babia Góra Sucha Beskidzka,1-1,Gancarczyk 70,IV liga,
02,1997/98,14.08.1997,Milówka,Podbeskidzie Bielsko-Biała,Podhalanka Milówka,0-1,,IV liga,
03,1997/98,17.08.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Hejnał Kęty,5-1,"Studencki 48, 70, Móll 35, Duleba 58, Bak 87",IV liga,
04,1997/98,24.08.1997,Pisarzowice,Podbeskidzie Bielsko-Biała,Pionier Pisarzowice,1-3,Ziółkowski 26,IV liga,
05,1997/98,31.08.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Jedność Wieprz,3-0,"Ziółkowski 5, Gębczyński 70, Sokołowski 83",IV liga,
06,1997/98,06.09.1997,Chybie,Podbeskidzie Bielsko-Biała,Cukrownik Chybie,1-1,Czernek 87,IV liga,
07,1997/98,10.09.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Kuźnia Ustroń,3-0,"Sokołowski 35, 80 Bak 70",IV liga,
08,1997/98,14.09.1997,Strumień,Podbeskidzie Bielsko-Biała,Wisła Strumień,0-1,,IV liga,
09,1997/98,20.09.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Śrubiarnia Żywiec,1-5,Czernek 53,IV liga,
10,1997/98,28.09.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,LKS Niwa Nowa Wieś,5-2,"Móll 7, Sokołowski 32, Czernek 60, 89, Ziółkowski 70",IV liga,
11,1997/98,01.10.1997,Stanisław,Podbeskidzie Bielsko-Biała,Stanisławianka Stanisław,4-2,"Czernek 55, Móll 60, 70, Moskała 75",IV liga,
12,1997/98,11.10.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Koszarawa Żywiec,1-1,Wawrzuta 87,IV liga,
13,1997/98,18.10.1997,Wadowice,Podbeskidzie Bielsko-Biała,Skawa Wadowice,0-0,,IV liga,
14,1997/98,24.10.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Garbarz Zembrzyce,3-1,"Móll 12, Wawrzuta 48, Moskała 74",IV liga,
15,1997/98,02.11.1997,Andrychów,Podbeskidzie Bielsko-Biała,Beskid Andrychów,0-2,,IV liga,
16,1997/98,08.11.1997,Sucha Beskidzka,Podbeskidzie Bielsko-Biała,Babia Góra Sucha Beskidzka,3-1,"Gawłowski 29, Czernek 70, Moskała 82",IV liga,
17,1997/98,11.11.1997,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Podhalanka Milówka,5-0,"Moskała 50, 53, 75, Zioło 70, Bak 90",IV liga,
18,1997/98,04.04.1998,Kęty,Podbeskidzie Bielsko-Biała,Hejnał Kęty,0-0,,IV liga,
19,1997/98,13.04.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Pionier Pisarzowice,1-0,Kuś 70,IV liga,
20,1997/98,19.04.1998,Wieprz,Podbeskidzie Bielsko-Biała,Jedność Wieprz,6-1,"Duleba 10, 52, Moskała 20, 28, Senecki 65, Matejko 67",IV liga,
21,1997/98,25.04.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Cukrownik Chybie,2-0,"Ziółkowski 70, 85",IV liga,
22,1997/98,01.05.1998,Ustroń,Podbeskidzie Bielsko-Biała,Kuźnia Ustroń,0-2,,IV liga,
23,1997/98,03.05.1998,Bielsko-Biała (Komorowice),Podbeskidzie Bielsko-Biała,Wisła Strumień,2-0,"Moskała 36, 43",IV liga,
24,1997/98,09.05.1998,Żywiec,Podbeskidzie Bielsko-Biała,Śrubiarnia Żywiec,1-1,Ziółkowski 72,IV liga,
