Rywal,Mecze,Wyniki z rywalem,Wygrane,Remisy,Porażki,Bilans bramkowy,Punkty,Punkty na mecz
Babia Góra Sucha Beskidzka,4,1-1 | 3-1 | 2x 2-0,3,1,0,,10,"2,50"
Podhalanka Milówka,2,0-1 | 5-0,1,0,0,,3,"3,00"
Hejnał Kęty,4,5-1 | 2x 0-0 | 5-0,2,2,0,,8,"2,00"
Pionier Pisarzowice,4,1-3 | 1-0 | 2-1 | 5-0,3,0,1,,9,"2,25"
Jedność Wieprz,4,3-0 | 6-1 | 3-1 | 7-2,4,0,0,,12,"3,00"
Cukrownik Chybie,4,1-1 | 2-0 | 2x 4-0,3,1,0,,10,"2,50"
Kuźnia Ustroń,4,3-0 | 0-2 | 2-1 | 6-0,3,0,1,,9,"2,25"
Wisła Strumień,4,0-1 | 2-0 | 3-0 | 7-1,3,0,1,,9,"2,25"
Śrubiarnia Żywiec,4,1-5 | 1-1 | 3-0 | 5-1,2,1,1,,7,"1,75"
LKS Niwa Nowa Wieś,2,5-2 | 5-0,2,0,0,,6,"3,00"
Stanisławianka Stanisław,2,4-2 | 3-0,2,0,0,,6,"3,00"
Koszarawa Żywiec,4,2x 1-1 | 3-1 | 5-1,2,2,0,,8,"2,00"
Skawa Wadowice,4,0-0 | 1-0 | 6-0 | 7-0,3,1,0,,10,"2,50"
Garbarz Zembrzyce,4,3-1 | 1-3 | 1-0 | 2-0,3,0,1,,9,"2,25"
Beskid Andrychów,2,0-2 | 6-0,1,0,1,,3,"1,50"
Beskid Brenna,2,2x 5-0,2,0,0,,6,"3,00"
Zapora Porąbka,2,4-2 | 1-0,2,0,0,,6,"3,00"
Metal Węgierska Górka,2,11-0 | 5-1,2,0,0,,6,"3,00"
Iskra Klecza,2,1-0 | 3-0,2,0,0,,6,"3,00"
Unia Oświęcim,2,2x 0-0,0,2,0,,2,"1,00"
Morcinek Kaczyce,2,4-3 | 4-2,2,0,0,,6,"3,00"
KS Chełmek,2,2-2 | 5-1,1,1,0,,4,"2,00"
Górnik Siersza,2,7-0 | 3-0,2,0,0,,6,"3,00"
Rymer Niedobczyce,2,8-0 | 1-0,2,0,0,,6,"3,00"
BKS Stal,2,0-0 | 5-0,1,1,0,,4,"2,00"
VIctoria Jaworzno,2,2-1 | 3-0,2,0,0,,6,"3,00"
Janina Libiąż,2,2-1 | 3-0,2,0,0,,6,"3,00"
Unia Bieruń Stary,2,0-0 | 2-0,1,1,0,,4,"2,00"
Peberow Krzanowice,2,2-1 | 6-1,2,0,0,,6,"3,00"
Góral Żywiec,2,2x 1-0,2,0,0,,6,"3,00"
