imię i nazwisko,kraj,sezon,gole
Abel Salami,Nigeria,2003/04,2
Adam Brzezina,Polska,2008/09,2
Adam Cieśliński,Polska,2010/11,14
Adam Cieśliński,Polska,2011/12,2
Adam Deja,Polska,2015/16,1
Adam Kompała,Polska,2004/05,5
Adam Mójta,Polska,2015/16,7
Adrian Rakowski,Polska,2017/18,1
Adrian Rakowski,Polska,2018/19,4
Adrian Sikora,Polska,2000/01,4
Adrian Sikora,Polska,2001/02,9
Adrian Sikora,Polska,2002/03,6
Aleksander Jagiełło,Polska,2013/14,2
Aleksander Komor,Polska,2019/20,2
Aleksander Komor,Polska,2020/21,1
Andriej Szyło,Białoruś,2003/04,1
Andrzej Szłapa,Polska,2001/02,14
Andrzej Szłapa,Polska,2002/03,3
Andrzej Szłapa,Polska,2003/04,1
Anton Sloboda,Słowacja,2012/13,1
Anton Sloboda,Słowacja,2013/14,2
Anton Sloboda,Słowacja,2014/15,1
Arkadiusz Kłoda,Polska,2000/01,8
Arkadiusz Lazar,Polska,1999/20,10
Artur Pajkos,Polska,2001/02,5
Artur Prokop,Polska,2004/05,4
Artur Rozmus,Polska,2000/01,10
Artur Rozmus,Polska,2004/05,8
Bartosz Bernard,Polska,2022/23,1
Bartosz Bida,Polska,2023/24,7
Bartosz Florek,Polska,2024/25,5
Bartosz Jaroch,Polska,2018/19,8
Bartosz Jaroch,Polska,2019/20,4
Bartosz Martosz,Polska,2025/26,5
Bartosz Woźniak,Polska,1999/20,4
Bartosz Woźniak,Polska,2000/01,9
Bartosz Woźniak,Polska,2001/02,5
Bartosz Woźniak,Polska,2002/03,1
Bartosz Woźniak,Polska,2003/04,3
Bartosz Śpiączka,Polska,2014/15,4
Bartłomiej Konieczny,Polska,2008/09,2
Bartłomiej Konieczny,Polska,2009/10,1
Bartłomiej Konieczny,Polska,2010/11,1
Bartłomiej Konieczny,Polska,2011/12,1
Bartłomiej Konieczny,Polska,2012/13,1
Bartłomiej Konieczny,Polska,2014/15,2
Bartłomiej Socha,Polska,2005/06,1
Bogdan Prusek,Polska,2004/05,3
Bogusław Zioło,Polska,1997/98,1
Błażej Jankowski,Polska,2005/06,1
Błażej Radler,Polska,2004/05,3
Błażej Telichowski,Polska,2012/13,1
Błażej Telichowski,Polska,2013/14,4
Chopi,Hiszpania,2018/19,4
Clemence Matawu,Zimbabwe,2008/09,2
Clemence Matawu,Zimbabwe,2009/10,4
Dalibor Takáč,Słowacja,2025/26,1
Damian Chmiel,Polska,2008/09,1
Damian Chmiel,Polska,2009/10,1
Damian Chmiel,Polska,2010/11,2
Damian Chmiel,Polska,2012/13,6
Damian Chmiel,Polska,2013/14,1
Damian Chmiel,Polska,2014/15,9
Damian Chmiel,Polska,2015/16,1
Damian Chmiel,Polska,2016/17,3
Damian Chmiel,Polska,2017/18,1
Damian Galeja,Polska,2001/02,1
Damian Hilbrycht,Polska,2018/19,1
Damian Zdolski,Polska,2002/03,4
Damian Zdolski,Polska,2003/04,1
Damian Zdolski,Polska,2004/05,1
Damian Świerblewski,Polska,2008/09,2
Damian Świerblewski,Polska,2009/10,3
Daniel Dubicki,Polska,2004/05,3
Daniel Dziarmaga,Polska,1999/20,4
Daniel Dziarmaga,Polska,2000/01,1
Daniel Feruga,Polska,2016/17,1
Daniel Mikołajewski,Polska,2022/23,1
Daniel Mikołajewski,Polska,2023/24,5
Dariusz Drewniak,Polska,1998/99,2
Dariusz Kołodziej,Polska,2005/06,3
Dariusz Kołodziej,Polska,2006/07,4
Dariusz Kołodziej,Polska,2007/08,14
Dariusz Kołodziej,Polska,2009/10,7
Dariusz Kołodziej,Polska,2010/11,2
Dariusz Kołodziej,Polska,2013/14,3
Dariusz Kołodziej,Polska,2014/15,5
Dariusz Kołodziej,Polska,2015/16,1
Dariusz Pietrasiak,Polska,2014/15,2
Dariusz Ziółkowski,Polska,1995/96,4
Dariusz Ziółkowski,Polska,1997/98,6
Dariusz Ziółkowski,Polska,1998/99,2
Dariusz Łatka,Polska,2013/14,1
David Niepsuj,Polska /Niemcy,2020/21,1
Dawid Polkowski,Polska,2021/22,2
Desley Ubbink,Holandia,2020/21,2
Dimityr Iljew,Bułgaria,2017/18,3
Dmytro Baszłaj,Ukraina,2019/20,2
Ezequiel Bonifacio,Argentyna /Włochy,2022/23,1
