wynik,częstotliwość,różnica
1-1,111,0
0-1,82,-1
5-1,6,4
1-3,24,-2
3-0,43,3
1-5,2,-4
5-2,3,3
4-2,8,2
0-0,89,0
3-1,29,2
0-2,51,-2
5-0,11,5
1-0,103,1
6-1,3,5
2-0,84,2
6-0,5,6
4-0,21,4
2-1,82,1
11-0,1,11
4-3,3,1
2-2,56,0
7-0,2,7
7-1,1,6
7-2,1,5
8-0,1,8
2-4,8,-2
4-4,1,0
1-2,64,-1
4-1,10,3
2-3,24,-1
0-3,31,-3
3-2,9,1
1-1 pd. k. 4-2,2,
2-5,4,-3
anulowany było 0-0,1,
anulowany było 0-1,1,
3-1 pd.,1,2
0-4,7,-4
3-0 wo,1,
0-0 pd. k. 3-2,1,
3-0 (wo) na boisku 1-0,1,
2-2 pd. k. 5-4,1,
9-0,1,9
3-0 (wo),2,
1-4,5,-3
2-2 pd. k. 6-5,1,
0-6,2,-6
1-2 pd.,3,-1
3-3,9,0
0-5,5,-5
2-1 pd.,1,1
3-4,3,-1
4-5,1,-1
2-3 pd.,1,-1
2-4 pd.,1,-2
1-6,1,-5
0-0 pd. k. 3-4,1,
