Sezon;Data;Gospodarz;Gość;Wynik;Rola;Przeciwnik;Zawodnik;Minuty;Gole;Karne;Żółte;Czerwone;Status;Wejście;Zejście
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(44) Julio Rodríguez;90;0;0;0;0;Cały mecz;0;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(14) Iwajło Markow;90;0;0;0;0;Cały mecz;0;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(47) Bartosz Bernard;90;0;0;0;0;Cały mecz;0;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(24) Maksymilian Sitek;72;0;0;0;0;Zszedł;0;72
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(11) Yiğit Emre Çeltik;18;0;0;0;0;Wszedł;72;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(2) Ezequiel Bonifacio;90;0;0;0;0;Cały mecz;0;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(37) Mathieu Scalet;45;0;0;0;0;Zszedł;0;45
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(30) Tomasz Jodłowiec;45;0;0;0;0;Wszedł;45;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(8) Michał Janota;67;0;0;0;0;Zszedł;0;67
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(99) Kacper Wełniak;23;0;0;0;0;Wszedł;67;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(27) Krzysztof Drzazga;72;0;0;0;0;Zszedł;0;72
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(17) Titas Milašius;18;0;0;0;0;Wszedł;72;0
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(9) Kamil Biliński;67;0;0;0;0;Zszedł;0;67
2022/2023;17 lipca 2022 12:40;Podbeskidzie Bielsko-Biała;Arka Gdynia;0 - 1;Gospodarz;Arka Gdynia;(22) Joan Román;23;0;0;0;0;Wszedł;67;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(32) Matvei Igonen;90;0;0;0;0;Cały mecz;0;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(21) Jeppe Simonsen;90;0;0;0;0;Cały mecz;0;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(44) Julio Rodríguez;90;1;0;0;0;Cały mecz;0;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(14) Iwajło Markow;90;0;0;0;0;Cały mecz;0;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(47) Bartosz Bernard;46;0;0;1;0;Zszedł;0;46
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(17) Titas Milašius;44;0;0;1;0;Wszedł;46;0
2022/2023;25 lipca 2022 18:00;Odra Opole;Podbeskidzie Bielsko-Biała;1 - 2;Gość;Odra Opole;(24) Maksymilian Sitek;90;0;0;0;0;Cały mecz;0;0
