Sezon;Data;Gospodarz;Gość;Wynik;Rola;Przeciwnik;Zawodnik;Minuty;Gole;Status;Karne;Żółte;Czerwone;Wejście;Zejście
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krzysztof Nolka;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krystian Gańcarczyk;90;1;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Tomasz Duleba;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krzysztof Skrzyp;75;0;Zszedł;0;0;0;0;75
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Bartosz Żelichowski;15;0;Wszedł;0;0;0;75;90
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Marek Sokołowski;60;0;Zszedł;0;0;0;0;60
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Krzysztof Szczygieł;30;0;Wszedł;0;0;0;60;90
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Andrzej Fluder;90;0;Cały mecz;0;0;0;0;0
1997/1998;09.08.1997;BBTS;Babia Góra Sucha Beskidzka;1 - 1;Gospodarz;Babia Góra Sucha Beskidzka;Rafał Studencki;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Michał Klimczak;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Dariusz Ziółkowski;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Wiesław Wawrzuta;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Paweł Senecki;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Krystian Gańcarczyk;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Marek Móll;90;0;Cały mecz;0;0;0;0;0
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Tomasz Duleba;55;0;Zszedł;0;0;0;0;55
1997/1998;14.08.1997;Podhalanka Milówka;BBTS;1 - 0;Gość;Podhalanka Milówka;Jacek Czernek;35;0;Wszedł;0;0;0;55;90
